DateTime,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
2024-08-03 19:08:51.798828,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60204786, 3.443654, 6.494046]","[0.038840953, -0.41326407, -0.24777505]",,,,,,,,,,,,
2024-08-03 19:08:52.874747,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.7956963, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6020926, 3.443353, 6.492217]","[0.038141165, -0.4157652, -0.2917947]",,,,,,,,,,,,
2024-08-03 19:08:53.891312,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6021608, 3.443741, 6.4919925]","[0.03704934, -0.41253677, -0.29675323]",,,,,,,,,,,,
2024-08-03 19:08:54.818140,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60218173, 3.4432545, 6.494284]","[0.036707263, -0.41658056, -0.241463]",,,,,,,,,,,,
2024-08-03 19:08:55.935284,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6021567, 3.4439301, 6.4928956]","[0.0371157, -0.4109559, -0.2762794]",,,,,,,,,,,,
2024-08-03 19:08:56.932150,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6021438, 3.4437516, 6.49258]","[0.03732398, -0.41245067, -0.283613]",,,,,,,,,,,,
2024-08-03 19:08:57.892831,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6021366, 3.4432118, 6.4932914]","[0.03743989, -0.41693184, -0.26682386]",,,,,,,,,,,,
2024-08-03 19:08:58.765876,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.602123, 3.4435084, 6.4937477]","[0.0376579, -0.41447544, -0.2554817]",,,,,,,,,,,,
2024-08-03 19:08:59.782367,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60208344, 3.4435112, 6.4934115]","[0.03828597, -0.41445196, -0.26389238]",,,,,,,,,,,,
2024-08-03 19:09:00.636006,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.7956963, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60209286, 3.4438343, 6.4938097]","[0.0381376, -0.4117603, -0.25389922]",,,,,,,,,,,,
2024-08-03 19:09:01.796949,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.7956963, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.076350205, 1.5420015, 3.7520673]","[0.6050564, 3.4434702, 6.4932094]","[0.03400017, -0.414793, -0.26880622]",,,,,,,,,,,,
2024-08-03 19:09:02.695905,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60221034, 3.4437704, 6.4928994]","[0.03623527, -0.41229323, -0.2761953]",,,,,,,,,,,,
2024-08-03 19:09:04.131964,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60215443, 3.4436305, 6.4933405]","[0.03715236, -0.4134601, -0.26562336]",,,,,,,,,,,,
2024-08-03 19:09:05.344289,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60213137, 3.4435918, 6.4930115]","[0.037524983, -0.41378096, -0.2735465]",,,,,,,,,,,,
2024-08-03 19:09:06.190726,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6020843, 3.4437962, 6.4936123]","[0.038272567, -0.4120776, -0.25888819]",,,,,,,,,,,,
2024-08-03 19:09:07.506686,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60204893, 3.4439282, 6.492885]","[0.038824502, -0.4109715, -0.27653074]",,,,,,,,,,,,
2024-08-03 19:09:08.711135,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6019887, 3.4439204, 6.4934926]","[0.03974801, -0.41103855, -0.26188856]",,,,,,,,,,,,
2024-08-03 19:09:09.551574,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6020377, 3.443514, 6.492627]","[0.038998198, -0.4144284, -0.28252342]",,,,,,,,,,,,
2024-08-03 19:09:10.749723,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60208803, 3.4435246, 6.4925704]","[0.03821387, -0.4143416, -0.28382143]",,,,,,,,,,,,
2024-08-03 19:09:11.830214,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.7956963, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6021068, 3.4435337, 6.4927707]","[0.037916232, -0.4142667, -0.2792064]",,,,,,,,,,,,
2024-08-03 19:09:12.696646,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.7956963, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60207, 3.443682, 6.4918466]","[0.038497414, -0.41303128, -0.29992983]",,,,,,,,,,,,
2024-08-03 19:09:13.560257,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.7956963, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60205513, 3.4435568, 6.491768]","[0.038728077, -0.41407353, -0.3016304]",,,,,,,,,,,,
2024-08-03 19:09:14.422414,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.60210156, 3.443948, 6.49129]","[0.037999585, -0.41080627, -0.31174433]",,,,,,,,,,,,
2024-08-03 19:09:15.251148,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6021698, 3.443474, 6.4916654]","[0.03690288, -0.41476035, -0.30382028]",,,,,,,,,,,,
2024-08-03 19:09:16.138592,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.7956963, 7.504135]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6022391, 3.4435132, 6.490915]","[0.035754386, -0.4144365, -0.3194626]",,,,,,,,,,,,
2024-08-03 19:09:17.022807,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6022828, 3.4430823, 6.4906034]","[0.03500926, -0.41800073, -0.32572275]",,,,,,,,,,,,
2024-08-03 19:09:17.972051,3,"[14.0, 87.0, 172.0]","[0.61080164, 3.795696, 7.5041347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,"[-0.09543776, 1.5420015, 3.7520673]","[0.6022282, 3.4433818, 6.4910536]","[0.035936616, -0.41552612, -0.31662238]",,,,,,,,,,,,
