DateTime,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
2024-08-05 01:20:40.693345,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019121423, 0.019759538, 4.2785735, 6.5973725, 6.614047, 7.384367, 7.5051737]","[-0.023587305, -0.079521865, -0.56325406, -0.6585653, -1.122505, -1.0166777, -0.64091575]",,,,,,,,,,,,
2024-08-05 01:20:41.462188,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019433126, 0.020340728, 6.5986943, 6.612702, 7.396123, 7.6210995]","[-0.023331169, -0.07937519, -0.6451866, -1.1304034, -0.92729455, -0.71232945]",,,,,,,,,,,,
2024-08-05 01:20:42.263852,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.01935141, 0.020040734, 6.5985065, 6.616304, 7.394782, 7.622441]","[-0.02339899, -0.079451464, -0.6471073, -1.1091275, -0.9379292, -0.6978292]",,,,,,,,,,,,
2024-08-05 01:20:43.042169,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019058147, 0.020096745, 6.598993, 6.6199665, 7.3922973, 7.4908133]","[-0.02363846, -0.079437315, -0.6421264, -1.0870517, -0.9573159, -0.7912782]",,,,,,,,,,,,
2024-08-05 01:20:43.816322,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019088425, 0.01997854, 4.27826, 6.5988026, 6.615522, 7.3854036, 7.479606]","[-0.023614017, -0.079467125, -0.5656278, -0.6440772, -1.1137794, -1.009122, -0.8910065]",,,,,,,,,,,,
2024-08-05 01:20:44.603468,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.0308306, -3.6266346, -3.4030375]","[0.019173376, 0.01997727, 6.5957365, 6.7265944, 7.398096, 7.6089706]","[-0.023545094, -0.079467446, -0.6747541, -1.1073142, -0.91142195, -0.83194953]",,,,,,,,,,,,
2024-08-05 01:20:45.394725,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.373249, 7.4605055, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019183565, 0.0203721, 4.2737203, 6.596209, 6.6145296, 7.3774333, 7.618979]","[-0.023536794, -0.079367146, -0.59896636, -0.67012113, -1.1196579, -1.0658275, -0.7346605]",,,,,,,,,,,,
2024-08-05 01:20:46.156755,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019210665, 0.020018542, 4.278051, 6.5985518, 6.6227527, 7.39899, 7.4973702]","[-0.023514679, -0.07945706, -0.56721115, -0.646644, -1.0699477, -0.90413314, -0.72652775]",,,,,,,,,,,,
2024-08-05 01:20:46.926747,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.460506, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019123605, 0.020121906, 4.2760887, 6.598588, 6.618245, 7.413152, 7.6044207]","[-0.023585537, -0.079430945, -0.5818172, -0.6462728, -1.0974817, -0.77954453, -0.8725571]",,,,,,,,,,,,
2024-08-05 01:20:47.728316,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.373249, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.0308306, -3.6266346, -3.6648097]","[0.019221865, 0.020177854, 4.2775855, 6.595375, 6.7250347, 7.3788033, 7.5007358]","[-0.023505526, -0.07941675, -0.57070786, -0.6782802, -1.1167465, -1.056301, -0.69091815]",,,,,,,,,,,,
2024-08-05 01:20:48.691235,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019131478, 0.019939566, 4.275605, 6.59653, 6.620096, 7.382955, 7.4973]","[-0.02357915, -0.079476915, -0.5853617, -0.66695035, -1.0862621, -1.026884, -0.727252]",,,,,,,,,,,,
2024-08-05 01:20:49.461234,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.373249, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019245524, 0.020020485, 4.274416, 6.5981193, 6.6187577, 7.39406, 7.4961824]","[-0.023486158, -0.07945657, -0.5939807, -0.6510438, -1.0943881, -0.9436045, -0.7386832]",,,,,,,,,,,,
2024-08-05 01:20:50.214954,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.0191781, 0.020042894, 6.5959845, 6.6164975, 7.3848176, 7.6210437]","[-0.023541246, -0.07945092, -0.6723271, -1.1079699, -1.013401, -0.7129241]",,,,,,,,,,,,
2024-08-05 01:20:51.007656,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.460506, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.0308306, -3.6266346, -3.4030375]","[0.01935058, 0.020083163, 4.275175, 6.5967436, 6.7229195, 7.3950276, 7.623896]","[-0.023399675, -0.07944075, -0.5884941, -0.66483337, -1.1294098, -0.9359906, -0.6817459]",,,,,,,,,,,,
2024-08-05 01:20:51.805190,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.799155, 7.3732486, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019172354, 0.019720118, 4.2724886, 6.5973825, 6.616842, 7.3952646, 7.4955106]","[-0.023545926, -0.07953165, -0.60768837, -0.65846246, -1.1059132, -0.9341159, -0.74546784]",,,,,,,,,,,,
2024-08-05 01:20:52.569616,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019185962, 0.020085018, 4.2767076, 6.5970507, 6.6162534, 7.3987527, 7.488898]","[-0.023534838, -0.07944028, -0.5772493, -0.6617829, -1.1094264, -0.90607494, -0.8092062]",,,,,,,,,,,,
2024-08-05 01:20:53.331537,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.01927805, 0.020171335, 4.278599, 6.599916, 6.619291, 7.3852935, 7.505023]","[-0.023459466, -0.079418406, -0.5630615, -0.6325669, -1.0911565, -1.0099273, -0.6426748]",,,,,,,,,,,,
2024-08-05 01:20:54.123945,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.4605055, 8.28945, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019199558, 0.020157339, 6.5979013, 6.620758, 7.37078, 7.505361]","[-0.02352375, -0.07942196, -0.6532465, -1.0822196, -1.1109056, -0.63871354]",,,,,,,,,,,,
2024-08-05 01:20:54.903249,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019213134, 0.020073516, 6.5962205, 6.617383, 7.3927107, 7.488469]","[-0.023512661, -0.07944319, -0.67000806, -1.1026708, -0.9541176, -0.81316376]",,,,,,,,,,,,
2024-08-05 01:20:55.654151,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.4605055, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019310713, 0.020022765, 6.5981774, 6.617023, 7.401135, 7.6322145]","[-0.023432588, -0.079455994, -0.6504523, -1.1048278, -0.8864047, -0.58126485]",,,,,,,,,,,,
2024-08-05 01:20:56.606202,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.460506, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019196678, 0.020094417, 6.593586, 6.6149883, 7.37195, 7.6202173]","[-0.0235261, -0.079437904, -0.69545466, -1.1169453, -1.1031169, -0.72170156]",,,,,,,,,,,,
2024-08-05 01:20:57.398442,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019221025, 0.019929228, 4.2766914, 6.598152, 6.617689, 7.39036, 7.484441]","[-0.023506211, -0.07947951, -0.57737136, -0.6507085, -1.1008294, -0.972159, -0.84944]",,,,,,,,,,,,
2024-08-05 01:20:58.184262,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.460506, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019209595, 0.019855924, 4.277411, 6.5980787, 6.621863, 7.393472, 7.498106]","[-0.023515552, -0.07949785, -0.57201475, -0.65145373, -1.075439, -0.9481977, -0.71889347]",,,,,,,,,,,,
2024-08-05 01:20:58.950652,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019318512, 0.020299328, 4.2773027, 6.597145, 6.617074, 7.4053626, 7.610189]","[-0.023426158, -0.07938579, -0.5728244, -0.6608394, -1.1045218, -0.85036284, -0.82072955]",,,,,,,,,,,,
2024-08-05 01:20:59.717100,6,"[2.0, 2.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019141499, 0.019942028, 6.59659, 6.619981, 7.3805203, 7.4857397]","[-0.023571016, -0.0794763, -0.666355, -1.0869642, -1.044236, -0.83791846]",,,,,,,,,,,,
2024-08-05 01:21:00.515589,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019315131, 0.019913346, 4.2764015, 6.597525, 6.6180687, 7.400815, 7.488898]","[-0.023428947, -0.07948349, -0.5795135, -0.65703493, -1.0985477, -0.8890711, -0.8092062]",,,,,,,,,,,,
2024-08-05 01:21:01.295273,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.460506, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019250348, 0.020199917, 4.2764874, 6.5997953, 6.6191077, 7.3846393, 7.487266]","[-0.023482203, -0.07941114, -0.57888, -0.63382655, -1.0922703, -1.0146979, -0.8241689]",,,,,,,,,,,,
2024-08-05 01:21:02.049077,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019339807, 0.020228747, 4.278387, 6.5995502, 6.6154876, 7.3926363, 7.6193748]","[-0.02340858, -0.0794038, -0.5646679, -0.6363712, -1.1139836, -0.95469403, -0.7305453]",,,,,,,,,,,,
2024-08-05 01:21:02.831620,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.6648097]","[0.019231731, 0.020071926, 4.277422, 6.596304, 6.6226063, 7.39592, 7.4871297]","[-0.023497453, -0.07944359, -0.57193166, -0.66918284, -1.0708516, -0.9289139, -0.8254016]",,,,,,,,,,,,
2024-08-05 01:21:03.616212,7,"[2.0, 2.0, 110.0, 169.0, 171.0, 190.0, 192.0]","[0.08725738, 0.08725738, 4.7991557, 7.3732486, 7.4605055, 8.289451, 8.376707]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.0996306, -3.2257962, -3.2639713, -3.6266346, -3.4030375]","[0.019135758, 0.019975405, 4.2748766, 6.5940776, 6.618632, 7.393472, 7.61954]","[-0.023575677, -0.079467915, -0.5906566, -0.6907776, -1.0951488, -0.9481977, -0.72881645]",,,,,,,,,,,,
