DateTime,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
2024-08-19 00:26:47.166272,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.7589865, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54895306, 1.142466, 1.678093, 3.0099108, 5.5244894, 6.6810727]","[-0.017878365, 0.9975462, -1.1284829, 0.55985713, 0.1498967, 0.6626006]",,,,,,,,,,,,
2024-08-19 00:26:47.508675,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.7589874, 7.242362]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54895043, 1.1436605, 1.6779525, 3.0089762, 5.5240784, 6.6833673]","[-0.017957477, 0.9961765, -1.1286919, 0.56485844, 0.16435996, 0.6390431]",,,,,,,,,,,,
2024-08-19 00:26:47.685989,5,"[14.0, 50.0, 50.0, 93.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 2.7158859]","[0.5489229, 1.139786, 1.6836287, 3.009447, 6.682686]","[-0.01878118, 1.0006071, -1.1202072, 0.56234425, 0.64613414]",,,,,,,,,,,,
2024-08-19 00:26:47.886217,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.0574675, 5.7589874, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54891145, 1.1380637, 1.6804308, 3.0080543, 5.5258217, 6.6831303]","[-0.019112403, 1.0025656, -1.1249988, 0.56974757, 0.08803613, 0.64151645]",,,,,,,,,,,,
2024-08-19 00:26:48.069358,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.7589874, 7.242362]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54892325, 1.1411318, 1.6790646, 3.0089254, 5.5245624, 6.6795297]","[-0.018770512, 0.99907213, -1.1270368, 0.5651293, 0.14719254, 0.6779797]",,,,,,,,,,,,
2024-08-19 00:26:48.250480,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.758987, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54893386, 1.1457381, 1.6770552, 3.008584, 5.5237536, 6.67564]","[-0.01845833, 0.99378616, -1.1300246, 0.5669441, 0.17493267, 0.71526515]",,,,,,,,,,,,
2024-08-19 00:26:48.435092,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.758987, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.7498681, 2.6627133, 1.6197151, 2.7158859]","[0.54895073, 1.1452209, 1.717236, 3.0080762, 5.524049, 6.676079]","[-0.017948078, 0.9943822, -1.116895, 0.5696324, 0.16534771, 0.7111593]",,,,,,,,,,,,
2024-08-19 00:26:48.611808,5,"[14.0, 50.0, 50.0, 93.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 2.7158859]","[0.5489729, 1.1478963, 1.6745702, 3.0088866, 6.6798816]","[-0.017256372, 0.99129254, -1.133704, 0.56533635, 0.6745055]",,,,,,,,,,,,
2024-08-19 00:26:48.790894,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.0574675, 5.7589874, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54899496, 1.1429403, 1.680571, 3.0091815, 5.523355, 6.6781325]","[-0.016540801, 0.99700266, -1.1247894, 0.5637634, 0.1870986, 0.69160634]",,,,,,,,,,,,
2024-08-19 00:26:48.965816,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.758987, 7.242362]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.5490011, 1.1431634, 1.6799108, 3.0084698, 5.523806, 6.675667]","[-0.016336488, 0.9967468, -1.1257752, 0.56754965, 0.17326552, 0.7150155]",,,,,,,,,,,,
2024-08-19 00:26:49.149990,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.758987, 7.242362]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54899514, 1.143381, 1.6750959, 3.0095243, 5.5240626, 6.6739645]","[-0.016534287, 0.99649715, -1.1329271, 0.56193113, 0.16488144, 0.73073125]",,,,,,,,,,,,
2024-08-19 00:26:49.329830,5,"[14.0, 50.0, 50.0, 93.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.0574675, 7.242362]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 2.7158859]","[0.54899263, 1.1392906, 1.6800221, 3.008694, 6.6767144]","[-0.016617088, 1.0011712, -1.125609, 0.5663598, 0.7051635]",,,,,,,,,,,,
2024-08-19 00:26:49.622016,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.0574675, 5.758987, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54898703, 1.1369787, 1.6826639, 3.0093975, 5.524166, 6.6802783]","[-0.016802214, 1.0037959, -1.121656, 0.5626093, 0.16137728, 0.6705637]",,,,,,,,,,,,
2024-08-19 00:26:50.368824,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.758987, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54897463, 1.1381738, 1.6823982, 3.0091324, 5.5245013, 6.675686]","[-0.017202947, 1.0024406, -1.1220545, 0.5640265, 0.14946142, 0.7148381]",,,,,,,,,,,,
2024-08-19 00:26:51.142500,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.7589874, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54895455, 1.1375266, 1.6799538, 3.0095208, 5.5230293, 6.674371]","[-0.017831098, 1.0031749, -1.125711, 0.56194955, 0.19647604, 0.7270138]",,,,,,,,,,,,
2024-08-19 00:26:51.458574,6,"[14.0, 50.0, 50.0, 93.0, 132.0, 166.0]","[0.61080164, 2.1814344, 2.1814344, 4.057468, 5.7589865, 7.2423625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.2672257, -1.567906, -0.81803787, 2.6627133, 1.6197151, 2.7158859]","[0.54890937, 1.1365085, 1.6802261, 3.0094929, 5.5244694, 6.677983]","[-0.01917189, 1.0043283, -1.1253045, 0.56209946, 0.15062828, 0.6930526]",,,,,,,,,,,,
