datetime,frame_number,x,y,z
2024-08-29 23:57:23.037018,41,"[-1.5686834  -1.5638192  -1.5589548  ...  0.13983142  0.14027603
  0.14072062]","[-1.1419226  -1.1419226  -1.1419226  ...  0.10856955  0.10856955
  0.10856955]",[2.9540002 2.9540002 2.9540002 ... 0.27      0.27      0.27     ]
2024-08-29 23:57:23.075207,42,"[-1.5761179  -1.5712306  -1.5663432  ...  0.14034933  0.14079559
  0.14124182]","[-1.1473346  -1.1473346  -1.1473346  ...  0.10897167  0.10897167
  0.10897167]",[2.9680002  2.9680002  2.9680002  ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:23.114421,44,"[-1.5920489  -1.5871123  -1.5895638  ...  0.13983142  0.14027603
  0.14072062]","[-1.1589316  -1.1589316  -1.1643435  ...  0.10856955  0.10856955
  0.10856955]",[2.9980001 2.9980001 3.012     ... 0.27      0.27      0.27     ]
2024-08-29 23:57:23.152347,45,"[-1.6159456  -1.6109349  -1.605924   ...  0.13983142  0.14027603
  0.14072062]","[-1.1763272  -1.1763272  -1.1763272  ...  0.10856955  0.10856955
  0.10856955]",[3.0430002 3.0430002 3.0430002 ... 0.27      0.27      0.27     ]
2024-08-29 23:57:23.193969,46,"[-1.5920489  -1.5871123  -1.5895638  ...  0.14034933  0.14079559
  0.14124182]","[-1.1589316  -1.1589316  -1.1643435  ...  0.10897167  0.10897167
  0.10897167]",[2.9980001  2.9980001  3.012      ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:23.260866,48,"[-1.607449   -1.6024647  -1.59748    ...  0.14034933  0.14079559
  0.14124182]","[-1.170142   -1.170142   -1.170142   ...  0.10897167  0.10897167
  0.10897167]",[3.0270002  3.0270002  3.0270002  ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:23.314083,49,"[-1.5994834  -1.5945238  -1.5895638  ...  0.14034933  0.14079559
  0.14124182]","[-1.1643435  -1.1643435  -1.1643435  ...  0.10897167  0.10897167
  0.10897167]",[3.012      3.012      3.012      ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:23.361862,51,"[-1.5761179  -1.5712306  -1.5663432  ...  0.14034933  0.14079559
  0.14124182]","[-1.1473346  -1.1473346  -1.1473346  ...  0.10897167  0.10897167
  0.10897167]",[2.9680002  2.9680002  2.9680002  ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:23.409748,52,"[-1.6159456  -1.6109349  -1.6138401  ...  0.14034933  0.14079559
  0.14124182]","[-1.1763272  -1.1763272  -1.1821257  ...  0.10897167  0.10897167
  0.10897167]",[3.0430002  3.0430002  3.058      ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:23.461576,54,"[-1.6159456  -1.6109349  -1.6138401  ...  0.14034933  0.14079559
  0.14124182]","[-1.1763272  -1.1763272  -1.1821257  ...  0.10897167  0.10897167
  0.10897167]",[3.0430002  3.0430002  3.058      ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:23.507059,55,"[-1.5994834  -1.5945238  -1.59748    ...  0.14034933  0.14079559
  0.14124182]","[-1.1643435  -1.1643435  -1.170142   ...  0.10897167  0.10897167
  0.10897167]",[3.012      3.012      3.0270002  ... 0.27100003 0.27100003 0.27100003]
2024-08-29 23:57:23.563915,57,"[-1.607449   -1.6024647  -1.605924   ...  0.13983142  0.14027603
  0.14072062]","[-1.170142   -1.170142   -1.1763272  ...  0.10856955  0.10856955
  0.10856955]",[3.0270002 3.0270002 3.0430002 ... 0.27      0.27      0.27     ]
2024-08-29 23:57:23.605212,58,"[-1.5761179  -1.5712306  -1.5663432  ...  0.13879563  0.13923696
  0.13967825]","[-1.1473346  -1.1473346  -1.1473346  ...  0.10776533  0.10776533
  0.10776533]",[2.9680002 2.9680002 2.9680002 ... 0.268     0.268     0.268    ]
2024-08-29 23:57:23.648256,60,"[-1.5994834  -1.5945238  -1.5895638  ...  0.13672405  0.13715878
  0.1375935 ]","[-1.1643435  -1.1643435  -1.1643435  ...  0.10615689  0.10615689
  0.10615689]",[3.012 3.012 3.012 ... 0.264 0.264 0.264]
2024-08-29 23:57:23.691638,61,"[-1.6159456  -1.6109349  -1.6138401  ...  0.13672405  0.13715878
  0.1375935 ]","[-1.1763272  -1.1763272  -1.1821257  ...  0.10615689  0.10615689
  0.10615689]",[3.0430002 3.0430002 3.058     ... 0.264     0.264     0.264    ]
2024-08-29 23:57:23.732703,62,"[-1.607449   -1.6024647  -1.605924   ...  0.13672405  0.13715878
  0.1375935 ]","[-1.170142   -1.170142   -1.1763272  ...  0.10615689  0.10615689
  0.10615689]",[3.0270002 3.0270002 3.0430002 ... 0.264     0.264     0.264    ]
2024-08-29 23:57:23.773222,63,"[-1.5994834  -1.5945238  -1.59748    ...  0.13672405  0.13715878
  0.1375935 ]","[-1.1643435  -1.1643435  -1.170142   ...  0.10615689  0.10615689
  0.10615689]",[3.012     3.012     3.0270002 ... 0.264     0.264     0.264    ]
2024-08-29 23:57:23.820308,65,[-1.607449  -1.6024647 -1.605924  ...  0.         0.         0.       ],[-1.170142  -1.170142  -1.1763272 ...  0.         0.         0.       ],[3.0270002 3.0270002 3.0430002 ... 0.        0.        0.       ]
2024-08-29 23:57:23.862619,66,"[-1.6318767  -1.6268166  -1.6217563  ...  0.27966285  0.
  0.        ]","[-1.1879243  -1.1879243  -1.1879243  ...  0.21713911  0.
  0.        ]",[3.0730002 3.0730002 3.0730002 ... 0.54      0.        0.       ]
2024-08-29 23:57:23.903875,67,"[-1.607449   -1.6024647  -1.605924   ...  0.27759126  0.2784739
  0.2793565 ]","[-1.170142   -1.170142   -1.1763272  ...  0.21553066  0.21553066
  0.21553066]",[3.0270002 3.0270002 3.0430002 ... 0.536     0.536     0.536    ]
2024-08-29 23:57:23.949456,69,[-1.5920489 -1.5871123 -1.5821755 ...  0.         0.         0.       ],[-1.1589316 -1.1589316 -1.1589316 ...  0.         0.         0.       ],[2.9980001 2.9980001 2.9980001 ... 0.        0.        0.       ]
