Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
27/06/2024,111353,6,"[2.0, 2.0, 14.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 3.1848943, 3.6648102, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.05726265, -1.5924472, 2.5195568, -0.98982584]","[0.019040562, 0.01850074, 0.6080442, 2.7278948, 2.6567721, 5.0097537]","[-0.023652628, -0.07982411, -0.00904912, -0.40774223, -0.1556527, 1.3383598]",,,,,,,,,,,,
27/06/2024,111354,6,"[2.0, 2.0, 14.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 3.184894, 3.66481, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.038175102, -1.5924472, 2.5195568, -0.98982584]","[0.01908508, 0.018973505, 0.60755205, 2.7276635, 2.6560283, 5.0126925]","[-0.023616722, -0.07971306, -0.050018255, -0.40928626, -0.16786523, 1.3273094]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848943, 3.6648097, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.038175102, 1.0634493, -1.5924472, 2.5195568, -0.98982584]","[0.0191993, 0.018569363, 0.607243, 0.76295847, 2.7242155, 2.6554534, 5.0158844]","[-0.023523958, -0.079808176, -0.053640187, -0.009286183, -0.43164065, -0.17672513, 1.3151959]",,,,,,,,,,,,
27/06/2024,111354,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.20996307, -0.019087551, 1.0225474, -1.6919751, 2.5195568, -0.8248549]","[0.019151818, 0.018427994, 0.5717838, 0.5297933, 0.7874033, 2.686466, 2.6168118, 5.059866]","[-0.023562633, -0.079840936, -0.04535959, 0.30336997, -0.21796583, -0.25233465, -0.48472816, 1.2593503]",,,,,,,,,,,,
27/06/2024,111354,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088607, 3.1848943, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.20996307, -0.019087551, 1.0225474, -1.6919751, 2.5195568, -0.8248549]","[0.019244432, 0.018586546, 0.57155603, 0.5538042, 0.79918826, 2.6818707, 2.6161118, 5.064898]","[-0.023487052, -0.079804175, -0.048143983, 0.25693423, -0.16973856, -0.29722396, -0.4884919, 1.2389578]",,,,,,,,,,,,
27/06/2024,111354,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088605, 3.1848946, 3.66481, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.2290506, 0.0, 1.0225474, -1.6919751, 2.5195568, -0.8248549]","[0.019258846, 0.018511634, 0.56333303, 0.56351054, 0.7855721, 2.6743639, 2.6186225, 5.0634427]","[-0.023475235, -0.07982159, -0.05718709, 0.23565763, -0.22447596, -0.35853913, -0.47484857, 1.2448908]",,,,,,,,,,,,
27/06/2024,111354,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.2290506, 0.0, 1.0225474, -1.6919751, 2.5195568, -0.8248549]","[0.019124271, 0.01818187, 0.5620497, 0.49052066, 0.7649357, 2.6670423, 2.6199424, 5.0636177]","[-0.023584995, -0.079897344, -0.068663165, -0.3639617, -0.28703037, -0.4094613, -0.46751118, 1.2441801]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088605, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.2290506, 1.0225474, -1.5924472, 2.5195568, -0.8248549]","[0.01913835, 0.018158447, 0.5648118, 0.76491463, 2.7260237, 2.6199253, 5.064544]","[-0.023573574, -0.07990267, -0.04002584, -0.2870864, -0.42007065, -0.4676073, 1.2404037]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.2290506, 1.0225474, -1.5924472, 2.5195568, -0.8248549]","[0.019044926, 0.018332355, 0.5615179, 0.75073606, 2.7162988, 2.6206865, 5.069908]","[-0.023649113, -0.07986295, 0.072884485, -0.32234833, -0.47894162, -0.46332195, 1.2182938]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848946, 3.6648102, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.20996307, 0.9407436, -1.5924472, 2.5195568, -0.8248549]","[0.019142602, 0.018719643, 0.57065314, 0.8953209, 2.697528, 2.6317267, 5.064667]","[-0.02357012, -0.07977306, -0.057871833, -0.16284382, -0.57533276, -0.395828, 1.2398999]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.20996307, 0.9407436, -1.5924472, 2.5195568, -0.8248549]","[0.019078871, 0.018541709, 0.5694721, 0.8989554, 2.7026286, 2.6325638, 5.0629725]","[-0.023621736, -0.079814605, -0.06852538, -0.14141022, -0.55087477, -0.39022198, 1.2468023]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088605, 3.1848943, 3.6648102, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.20996307, 0.8998417, -1.5924472, 2.5195568, -0.8248549]","[0.01915105, 0.018788124, 0.56700695, 0.94066995, 2.7086399, 2.6335456, 5.059235]","[-0.023563256, -0.07975696, -0.08658662, -0.13616547, -0.52051365, -0.38354036, 1.2618831]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.19087552, 0.8998417, -1.5924472, 2.5195568, -0.8248549]","[0.019173631, 0.01871631, 0.5753826, 0.9416304, 2.711948, 2.6320148, 5.054058]","[-0.023544885, -0.07977384, -0.074699685, -0.12935671, -0.50299406, -0.3939088, 1.2824602]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848943, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.13361286, 0.8998417, -1.5924472, 2.5195568, -0.8248549]","[0.019195605, 0.018305128, 0.5954936, 0.9413083, 2.714631, 2.6300964, 5.054052]","[-0.023526974, -0.079869196, -0.024770796, -0.13168028, -0.48830572, -0.40651932, 1.2824848]",,,,,,,,,,,,
27/06/2024,111354,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088607, 3.1848943, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.09543776, 0.32448837, 0.8998417, -1.5924472, 2.5195568, -0.8248549]","[0.019203762, 0.018608455, 0.6030693, 0.4460037, 0.9357689, 2.7180412, 2.6289964, 5.0533013]","[-0.023520317, -0.07979907, -0.016663682, -0.26242456, -0.16654623, -0.46895203, -0.41357407, 1.2854397]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848943, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.076350205, 0.9407436, -1.5924472, 2.5195568, -0.8248549]","[0.019097224, 0.018353172, 0.6056778, 0.87420934, 2.7191997, 2.6281984, 5.0542936]","[-0.023606902, -0.07985817, -0.020092536, -0.25273627, -0.46218783, -0.41861477, 1.2815318]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848943, 3.6648102, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.076350205, 0.9407436, -1.5924472, 2.5195568, -0.8248549]","[0.019039838, 0.018436873, 0.60537654, 0.85037345, 2.717888, 2.62922, 5.052803]","[-0.023653211, -0.07983889, -0.027722009, -0.3240102, -0.46983844, -0.4121507, 1.2873968]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 13.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.5671729, 1.3088607, 3.1848946, 3.66481, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.07089662, 0.98164546, -1.5924472, 2.5195568, -0.8248549]","[0.019248292, 0.018529285, 0.5588982, 0.78459054, 2.7162035, 2.6300886, 5.0535483]","[-0.02348389, -0.07981749, -0.06551013, -0.36593172, -0.47948185, -0.40657088, 1.2844664]",,,,,,,,,,,,
27/06/2024,111354,8,"[2.0, 2.0, 30.0, 30.0, 73.0, 84.0, 121.0, 153.0]","[0.08725738, 0.08725738, 1.3088607, 1.3088607, 3.1848946, 3.66481, 5.2790713, 6.67519]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 1.0225474, 0.53172463, -1.5924472, 2.5195568, -0.8248549, 4.7977924]","[0.01903327, 0.0187614, 0.72732013, 0.42032352, 2.709481, 2.630231, 5.0548205, 4.483405]","[-0.023658495, -0.07976325, -0.37218067, 1.1196934, -0.5161179, -0.40564862, 1.2794517, 1.1993431]",,,,,,,,,,,,
27/06/2024,111354,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848946, 3.6648102, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.05726265, 1.0225474, -1.5924472, 2.4050314, -0.8248549]","[0.019049345, 0.018517671, 0.60269725, 0.75072205, 2.7048118, 2.7381003, 5.05713]","[-0.023645556, -0.079820186, -0.08096691, -0.32238093, -0.54005337, -0.3866042, 1.2702945]",,,,,,,,,,,,
27/06/2024,111355,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.076350205, 1.0225474, -1.5924472, 2.4050314, -0.8248549]","[0.019063951, 0.018446002, 0.6004009, 0.7719929, 2.700558, 2.7365453, 5.0581584]","[-0.02363378, -0.07983678, -0.0822678, -0.26746956, -0.5609377, -0.3974615, 1.2661923]",,,,,,,,,,,,
27/06/2024,111355,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088605, 3.1848943, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.05726265, 1.0225474, -1.5924472, 2.4050314, -0.8248549]","[0.019063951, 0.018261615, 0.6007934, 0.782138, 2.6986568, 2.735726, 5.061625]","[-0.02363378, -0.07987916, -0.09405791, -0.23616342, -0.5700134, -0.403061, 1.2522624]",,,,,,,,,,,,
27/06/2024,111355,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.038175102, 1.0225474, -1.5924472, 2.4050314, -0.8248549]","[0.019093134, 0.018446002, 0.6016559, 0.7723041, 2.6929595, 2.7346845, 5.059481]","[-0.02361021, -0.07983678, -0.09814026, -0.26656958, -0.59635013, -0.41006854, 1.260896]",,,,,,,,,,,,
27/06/2024,111355,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848943, 3.6648097, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.019087551, 1.0634493, -1.5924472, 2.4050314, -0.8248549]","[0.019192062, 0.0187679, 0.59775466, 0.6781086, 2.6909013, 2.7351875, 5.056796]","[-0.023529865, -0.07976172, -0.124111615, -0.34980074, -0.60556936, -0.40669975, 1.2716227]",,,,,,,,,,,,
27/06/2024,111355,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.2290506, 0.0, 1.0634493, -1.5924472, 2.4050314, -0.8248549]","[0.018969871, 0.018517671, 0.16492182, 0.5911757, 0.63148147, 2.688384, 2.7366264, 5.0552993]","[-0.02370936, -0.079820186, -0.5416782, -0.15359029, -0.4282791, -0.6166488, -0.39690274, 1.2775581]",,,,,,,,,,,,
27/06/2024,111355,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088607, 3.1848943, 3.6648097, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.20996307, 0.0, 1.1043512, -1.5924472, 2.4050314, -0.8248549]","[0.019078976, 0.01843426, 0.5712958, 0.5874466, 0.5333535, 2.6844234, 2.7372394, 5.0539703]","[-0.023621652, -0.07983949, -0.051139817, -0.16728763, -0.45722938, -0.6336678, -0.39265278, 1.2828051]",,,,,,,,,,,,
27/06/2024,111355,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088607, 3.1848946, 3.6648102, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.20996307, 0.019087551, 1.1043512, -1.5924472, 2.4050314, -0.8248549]","[0.019193158, 0.018506074, 0.5734329, 0.5775543, 0.5266112, 2.6830547, 2.7372074, 5.053609]","[-0.02352897, -0.079822876, -0.012994845, -0.19785182, -0.46497884, -0.6394386, -0.39287645, 1.2842284]",,,,,,,,,,,,
27/06/2024,111355,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.6108017, 1.3088607, 3.1848946, 3.66481, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.20996307, 0.0, 1.1043512, -1.5924472, 2.4050314, -0.8248549]","[0.019086597, 0.018506074, 0.5735291, 0.5620916, 0.54948676, 2.6812701, 2.738456, 5.052423]","[-0.023615494, -0.079822876, -0.007651493, -0.23902243, -0.43770882, -0.64688075, -0.38407552, 1.2888864]",,,,,,,,,,,,
27/06/2024,111355,9,"[2.0, 2.0, 14.0, 14.0, 30.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088607, 1.3088607, 3.1848946, 3.6648102, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.19087552, 0.019087551, 1.1043512, 0.32721516, -1.5924472, 2.4050314, -0.8248549]","[0.01920761, 0.018517671, 0.5801241, 0.5623318, 0.5782552, 1.2440431, 2.683732, 2.7403376, 5.051937]","[-0.023517175, -0.079820186, 0.010063925, -0.23769158, -0.39893064, -0.24166773, -0.6365897, -0.370413, 1.2907904]",,,,,,,,,,,,
27/06/2024,111355,8,"[2.0, 2.0, 14.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 0.61080164, 1.3088605, 3.1848943, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.19087552, 0.019087551, 1.0634493, -1.5924472, 2.4050314, -0.8248549]","[0.018977983, 0.018347437, 0.58021003, 0.5651156, 0.6839269, 2.684853, 2.7410781, 5.0534]","[-0.02370287, -0.07985949, 0.0012306707, -0.23099494, -0.33828366, -0.631845, -0.36489215, 1.2850512]",,,,,,,,,,,,
27/06/2024,111355,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.184894, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.076350205, 1.0634493, -1.5924472, 2.4050314, -0.8248549]","[0.019186703, 0.018506074, 0.5874522, 0.6387895, 2.679312, 2.741444, 5.0550094]","[-0.023534235, -0.079822876, -0.1488262, -0.41730064, -0.65494335, -0.36213237, 1.2787067]",,,,,,,,,,,,
27/06/2024,111355,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.09543776, 1.0634493, -1.6919751, 2.4050314, -0.8248549]","[0.019201139, 0.01857765, 0.5903566, 0.55645853, 2.6058266, 2.7423496, 5.05932]","[-0.023522459, -0.079806246, -0.1242955, -0.52205914, -0.7003145, -0.35520914, 1.2615427]",,,,,,,,,,,,
27/06/2024,111355,7,"[2.0, 2.0, 14.0, 30.0, 73.0, 84.0, 121.0]","[0.08725738, 0.08725738, 0.61080164, 1.3088607, 3.1848943, 3.6648097, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.15270041, 1.1043512, -1.6919751, 2.5195568, -0.8248549]","[0.019222042, 0.018683402, 0.582587, 0.47845116, 2.5996184, 2.6357412, 5.0644727]","[-0.02350538, -0.079781555, -0.10175271, -0.51440173, -0.72301865, -0.3681482, 1.2406945]",,,,,,,,,,,,
27/06/2024,111355,6,"[13.0, 30.0, 30.0, 73.0, 84.0, 121.0]","[0.5671729, 1.3088607, 1.3088607, 3.1848946, 3.66481, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[0.12406908, 1.0634493, 0.57262653, -1.5924472, 2.5195568, -0.8248549]","[0.54220533, 0.62633955, 0.21962671, 2.6514518, 2.6262207, 5.0663805]","[-0.110929444, -0.4357644, 1.1562781, -0.7599131, -0.43084872, 1.2328818]",,,,,,,,,,,,
