Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
27/06/2024,213543,11,"[2.0, 2.0, 16.0, 16.0, 75.0, 118.0, 118.0, 123.0, 140.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 0.698059, 3.272152, 5.1481853, 5.1481853, 5.3663287, 6.108017, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.109071724, -0.08725738, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -3.0540082, -2.564549, 4.4296756]","[0.019702042, 0.017271899, 0.6129516, 0.6924043, 2.55197, 4.8649673, 4.4582243, 4.9460783, 5.16379, 7.003293, 5.976262]","[-0.023104532, -0.08009899, -0.31572157, 0.015772147, -0.10960875, 1.0860084, -0.04577183, 1.5918385, -1.1472455, -0.19006668, 0.566936]",,,,,,,,,,,,
27/06/2024,213544,9,"[2.0, 2.0, 17.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.7416877, 3.272152, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.460506]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.092710964, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019610185, 0.017105423, 0.7130949, 2.5523167, 4.8612347, 4.4581184, 4.9512753, 7.005687, 5.976011]","[-0.023182547, -0.080134705, -0.18166173, -0.10121481, 1.1025978, -0.055111293, 1.5755996, -0.050829493, 0.5695774]",,,,,,,,,,,,
27/06/2024,213544,9,"[2.0, 2.0, 16.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 3.2721517, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.04362869, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019524228, 0.017122306, 0.677694, 2.5508163, 4.8602557, 4.4576283, 4.9511905, 7.0056357, 5.9653716]","[-0.023254985, -0.0801311, -0.16159734, -0.13379392, 1.1069053, -0.08606445, 1.575866, 0.057486348, 0.6719127]",,,,,,,,,,,,
27/06/2024,213544,9,"[2.0, 2.0, 16.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 3.2721517, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.04362869, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019524228, 0.017122306, 0.677694, 2.5508163, 4.8602557, 4.4576283, 4.9511905, 7.0056357, 5.9653716]","[-0.023254985, -0.0801311, -0.16159734, -0.13379392, 1.1069053, -0.08606445, 1.575866, 0.057486348, 0.6719127]",,,,,,,,,,,,
27/06/2024,213544,9,"[2.0, 2.0, 16.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 3.2721517, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.04362869, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019524228, 0.017122306, 0.677694, 2.5508163, 4.8602557, 4.4576283, 4.9511905, 7.0056357, 5.9653716]","[-0.023254985, -0.0801311, -0.16159734, -0.13379392, 1.1069053, -0.08606445, 1.575866, 0.057486348, 0.6719127]",,,,,,,,,,,,
27/06/2024,213544,9,"[2.0, 2.0, 16.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 3.2721517, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.04362869, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019524228, 0.017122306, 0.677694, 2.5508163, 4.8602557, 4.4576283, 4.9511905, 7.0056357, 5.9653716]","[-0.023254985, -0.0801311, -0.16159734, -0.13379392, 1.1069053, -0.08606445, 1.575866, 0.057486348, 0.6719127]",,,,,,,,,,,,
27/06/2024,213545,9,"[2.0, 2.0, 16.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 3.2721517, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.04362869, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019524228, 0.017122306, 0.677694, 2.5508163, 4.8602557, 4.4576283, 4.9511905, 7.0056357, 5.9653716]","[-0.023254985, -0.0801311, -0.16159734, -0.13379392, 1.1069053, -0.08606445, 1.575866, 0.057486348, 0.6719127]",,,,,,,,,,,,
27/06/2024,213546,9,"[2.0, 2.0, 16.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 3.2721517, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.04362869, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019524228, 0.017122306, 0.677694, 2.5508163, 4.8602557, 4.4576283, 4.9511905, 7.0056357, 5.9653716]","[-0.023254985, -0.0801311, -0.16159734, -0.13379392, 1.1069053, -0.08606445, 1.575866, 0.057486348, 0.6719127]",,,,,,,,,,,,
27/06/2024,213546,9,"[2.0, 2.0, 16.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 3.2721517, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.04362869, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019524228, 0.017122306, 0.677694, 2.5508163, 4.8602557, 4.4576283, 4.9511905, 7.0056357, 5.9653716]","[-0.023254985, -0.0801311, -0.16159734, -0.13379392, 1.1069053, -0.08606445, 1.575866, 0.057486348, 0.6719127]",,,,,,,,,,,,
27/06/2024,213546,9,"[2.0, 2.0, 16.0, 75.0, 118.0, 118.0, 123.0, 171.0, 171.0]","[0.08725738, 0.08725738, 0.698059, 3.2721517, 5.1481853, 5.1481853, 5.3663287, 7.460506, 7.4605064]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.04362869, 2.0450947, -1.2870463, 2.5740926, -1.3415822, -2.564549, 4.4296756]","[0.019524228, 0.017122306, 0.677694, 2.5508163, 4.8602557, 4.4576283, 4.9511905, 7.0056357, 5.9653716]","[-0.023254985, -0.0801311, -0.16159734, -0.13379392, 1.1069053, -0.08606445, 1.575866, 0.057486348, 0.6719127]",,,,,,,,,,,,
