Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
02/08/2024,223538,8,"[13.0, 34.0, 38.0, 51.0, 82.0, 108.0, 131.0, 161.0]","[0.56717294, 1.4833754, 1.6578902, 2.225063, 3.5775526, 4.7118983, 5.7153583, 7.0242186]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.1949657, -1.066176, -1.0879904, -1.6687973, 0.33539554, -2.6504428, -3.929309, 6.3656983]","[0.51893586, 0.99317956, 1.2242242, 1.4148979, 3.5532632, 3.8805702, 4.086241, 2.7411673]","[0.11991299, -0.27796704, -0.2572002, -0.40507483, -0.24640164, -0.34396723, -0.7269725, -1.1417272]",,,,,,,,,,,,
02/08/2024,223539,8,"[13.0, 34.0, 38.0, 51.0, 82.0, 108.0, 131.0, 161.0]","[0.5671729, 1.4833755, 1.6578902, 2.225063, 3.5775526, 4.7118983, 5.7153587, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.17724155, -1.0198206, -1.0879904, -1.6687973, 0.22359703, -2.6504428, -3.929309, 6.3656983]","[0.52919674, 1.0404459, 1.2221855, 1.4154272, 3.5587547, 3.880756, 4.094303, 2.7455873]","[0.10110074, -0.27900007, -0.26671994, -0.40322128, -0.29008922, -0.3418676, -0.6800988, -1.1310568]",,,,,,,,,,,,
02/08/2024,223540,10,"[13.0, 34.0, 38.0, 49.0, 51.0, 82.0, 108.0, 131.0, 161.0, 161.0]","[0.56717294, 1.4833755, 1.6578903, 2.1378057, 2.225063, 3.5775526, 4.7118983, 5.7153587, 7.024219, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.1949657, -1.066176, -1.0879904, -1.6701607, -1.6687973, 0.22359703, -2.6504428, -3.929309, 6.3656983, -5.487671]","[0.5232713, 0.9951671, 1.2201728, 1.3129417, 1.4147904, 3.5586436, 3.879281, 4.098788, 2.733533, 0.81542677]","[0.09930083, -0.27076536, -0.27578154, 0.23866484, -0.4054499, -0.29145026, -0.35821426, -0.65252835, -1.1598868, 4.308155]",,,,,,,,,,,,
02/08/2024,223540,10,"[13.0, 34.0, 38.0, 49.0, 51.0, 82.0, 108.0, 131.0, 161.0, 161.0]","[0.5671729, 1.4833754, 1.6578902, 2.1378057, 2.225063, 3.5775526, 4.7118983, 5.7153583, 7.0242195, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.17724155, -1.0198206, -1.0879904, -1.6701607, -1.6687973, 0.22359703, -2.6504428, -3.929309, 6.3656983, -5.268164]","[0.5298028, 1.0391854, 1.2195072, 1.3335751, 1.4241229, 3.5584693, 3.8795729, 4.0892663, 2.7395449, 0.7483375]","[0.09787507, -0.2836589, -0.27870932, 0.048520185, -0.3713427, -0.29356968, -0.3550395, -0.7097568, -1.145615, 4.5854216]",,,,,,,,,,,,
02/08/2024,223541,10,"[13.0, 34.0, 38.0, 49.0, 51.0, 82.0, 108.0, 131.0, 161.0, 161.0]","[0.567173, 1.4833754, 1.6578902, 2.1378057, 2.225063, 3.5775526, 4.7118983, 5.7153583, 7.024219, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.1949657, -1.066176, -1.0361813, -1.6701607, -1.6687973, 0.33539554, -2.6504428, -3.929309, 6.5852056, -5.268164]","[0.51887083, 0.9907302, 1.2625313, 1.3336866, 1.4409733, 3.5533488, 3.88026, 4.0880427, 2.2841804, 0.90124816]","[0.12019403, -0.2865745, -0.2845048, -0.045352448, -0.29936177, -0.24516304, -0.34744868, -0.71677035, -0.8701956, 4.557834]",,,,,,,,,,,,
02/08/2024,223542,9,"[13.0, 34.0, 38.0, 49.0, 51.0, 82.0, 108.0, 131.0, 161.0]","[0.56717294, 1.4833754, 1.6578902, 2.1378057, 2.225063, 3.5775526, 4.7118983, 5.7153587, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.17724155, -1.0198206, -1.0879904, -1.6033542, -1.6687973, 0.22359703, -2.6504428, -3.929309, 6.5852056]","[0.53011876, 1.0380018, 1.2228812, 1.4127537, 1.4513545, 3.5587208, 3.8791187, 4.0953913, 2.2749627]","[0.09614906, -0.2879598, -0.26351193, -0.059962276, -0.24411428, -0.29050395, -0.3599679, -0.67351717, -0.8940158]",,,,,,,,,,,,
02/08/2024,223542,10,"[13.0, 13.0, 34.0, 38.0, 49.0, 51.0, 82.0, 108.0, 131.0, 161.0]","[0.56717294, 0.56717294, 1.4833754, 1.6578902, 2.1378057, 2.2250633, 3.5775526, 4.7118983, 5.7153583, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.1949657, -0.017724155, -1.066176, -1.0879904, -1.6033542, -1.6687973, 0.22359703, -2.6504428, -3.929309, 6.5852056]","[0.5230264, 0.53737247, 0.9908708, 1.2254695, 1.4081477, 1.4655089, 3.5584605, 3.8783033, 4.106998, 2.2748253]","[0.100582704, -0.18055966, -0.28608823, -0.2512, -0.12879728, -0.13529621, -0.29367512, -0.36864954, -0.5986819, -0.8943658]",,,,,,,,,,,,
02/08/2024,223543,9,"[13.0, 34.0, 38.0, 49.0, 51.0, 82.0, 108.0, 131.0, 161.0]","[0.56717294, 1.4833755, 1.6578902, 2.137806, 2.225063, 3.5775528, 4.7118983, 5.7153583, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.17724155, -1.0198206, -1.0879904, -1.6033542, -1.6687973, 0.22359703, -2.6504428, -3.929309, 6.3656983]","[0.5287858, 1.0383643, 1.2311649, 1.4069731, 1.4655342, 3.5587194, 3.879201, 4.0975056, 2.7654963]","[0.10322859, -0.28665018, -0.22160718, -0.1410508, -0.13502194, -0.29052296, -0.3590804, -0.66053116, -1.0814663]",,,,,,,,,,,,
02/08/2024,223544,9,"[13.0, 34.0, 38.0, 49.0, 51.0, 82.0, 108.0, 131.0, 161.0]","[0.56717294, 1.4833754, 1.6578902, 2.1378057, 2.225063, 3.5775526, 4.7118983, 5.7153583, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.1949657, -1.0198206, -1.0879904, -1.6033542, -1.7383305, 0.33539554, -2.6504428, -3.929309, 6.3656983]","[0.51932853, 1.0400064, 1.2346574, 1.4116431, 1.3787707, 3.5535011, 3.880026, 4.0921583, 2.7788556]","[0.11820058, -0.28063366, -0.2012408, -0.082049295, -0.16764322, -0.24294579, -0.35005385, -0.69288856, -1.0466617]",,,,,,,,,,,,
02/08/2024,223545,9,"[13.0, 34.0, 38.0, 49.0, 51.0, 82.0, 108.0, 131.0, 161.0]","[0.56717294, 1.4833754, 1.6578903, 2.1378057, 2.225063, 3.5775528, 4.7118983, 5.7153583, 7.024219]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.17724155, -1.066176, -1.0879904, -1.6033542, -1.7383305, 0.22359703, -2.6504428, -3.929309, 6.3656983]","[0.53050154, 0.99404633, 1.2344412, 1.4054401, 1.3854182, 3.5587628, 3.8785658, 4.1003847, 2.7618551]","[0.09401423, -0.27485123, -0.20256376, -0.15558468, -0.09863838, -0.2899921, -0.36587924, -0.64241475, -1.0907316]",,,,,,,,,,,,
