Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
02/08/2024,224500,12,"[2.0, 2.0, 166.0, 169.0, 64.0, 198.0, 59.0, 169.0, 191.0, 196.0, 100.0, 115.0]","[0.08725738, 0.08725738, 7.2423625, 7.373248, 2.7922363, 8.63848, 2.5740926, 7.3732486, 8.333079, 8.551223, 4.362869, 5.017299]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.12520644, 0.25041288, 0.25041288, 0.25041288, 0.25041288, 0.50082576, 0.50082576]",,"[-0.08180379, -0.029994724, 4.0738287, 4.3778663, 1.1343459, 1.619715, 0.080440395, 0.0, 0.26040873, 0.2672257, -3.2721515, 0.1567906]","[0.019366594, 0.018221218, 5.9871283, 5.9316154, 2.540771, 8.433676, 2.5673466, 7.3537564, 8.324968, 8.486379, 2.7241085, 4.9657745]","[-0.023386424, -0.07988838, 0.10015113, -0.12254984, -0.23307729, -0.93433297, -0.16797063, -0.53578043, 0.2594302, -1.0165538, -0.9523034, -0.6998517]",,,,,,,,,,,,
02/08/2024,224500,12,"[2.0, 2.0, 169.0, 167.0, 198.0, 59.0, 191.0, 196.0, 73.0, 78.0, 101.0, 116.0]","[0.08725738, 0.08725738, 7.373249, 7.285991, 8.63848, 2.5740926, 8.333078, 8.551223, 3.1848943, 3.4030378, 4.4064975, 5.060928]","[0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.12520644, 0.25041288, 0.25041288, 0.25041288, 0.37561932, 0.50082576, 0.50082576, 0.50082576]",,"[-0.08180379, -0.029994724, 4.1474524, 2.959934, 1.8896675, 0.080440395, -0.26040873, 0.2672257, -1.6919751, -2.1268985, -3.304873, 0.158154]","[0.019266095, 0.01773557, 6.09573, 6.607829, 8.410104, 2.550286, 8.308525, 8.518773, 2.6671426, 2.654484, 2.8229775, 5.010764]","[-0.023469286, -0.0799976, -0.0742677, -0.8130515, -0.56801814, -0.3398875, 0.5837866, -0.69462496, -0.4088056, -0.10335998, -0.725142, -0.6929797]",,,,,,,,,,,,
02/08/2024,224501,8,"[2.0, 2.0, 186.0, 80.0, 84.0, 191.0, 116.0, 159.0]","[0.08725738, 0.08725738, 8.114936, 3.4902952, 3.6648102, 8.333079, 5.060928, 6.936962]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25041288, 0.25041288]",,"[-0.08180379, -0.029994724, 4.3110595, 0.21814345, 1.3743037, 0.26040873, -3.321234, 0.4335601]","[0.019326556, 0.01828548, 6.8745127, 3.4538975, 3.3417168, 8.300003, 3.790055, 6.8959665]","[-0.023419522, -0.079873696, 0.08957513, -0.45295253, -0.6124139, -0.69451416, -0.46677583, -0.61572087]",,,,,,,,,,,,
02/08/2024,224502,10,"[2.0, 2.0, 13.0, 186.0, 80.0, 191.0, 96.0, 102.0, 117.0, 159.0]","[0.08725738, 0.08725738, 0.56717294, 8.114936, 3.4902952, 8.333079, 4.188354, 4.450126, 5.1045566, 6.9369617]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12520644, 0.12520644, 0.25041288, 0.25041288]",,"[-0.08180379, -0.029994724, 0.017724155, 4.3110595, 0.21814345, 0.0, -2.225063, -2.3641295, -3.3498652, 0.4335601]","[0.019247938, 0.018057473, 0.2609395, 6.8701487, 3.452486, 8.310034, 3.5446196, 3.7473276, 3.8107052, 6.889676]","[-0.02348418, -0.07992555, -0.50327086, -0.2607726, -0.46358854, -0.6193191, -0.16454425, -0.41478986, -0.5598443, -0.6825149]",,,,,,,,,,,,
02/08/2024,224503,10,"[2.0, 2.0, 186.0, 80.0, 191.0, 97.0, 97.0, 102.0, 117.0, 160.0]","[0.08725738, 0.08725738, 8.114936, 3.490295, 8.333079, 4.2319827, 4.2319827, 4.450126, 5.1045566, 6.9805903]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.12520644, 0.12520644, 0.12520644, 0.25041288, 0.25041288]",,"[-0.08180379, -0.029994724, 4.5646515, 0.21814345, 0.0, -2.2482407, -1.9837419, -2.3641295, -3.5093827, 0.4362869]","[0.019256486, 0.018292317, 6.6948524, 3.4527907, 8.326223, 3.58528, 3.7379415, 3.7657547, 3.6624327, 6.935781]","[-0.02347717, -0.07987213, 0.4416902, -0.46131286, -0.3379634, -0.02931601, -0.047310565, -0.18331727, -0.57211673, -0.6582099]",,,,,,,,,,,,
02/08/2024,224503,8,"[2.0, 2.0, 80.0, 187.0, 191.0, 84.0, 97.0, 117.0]","[0.08725738, 0.08725738, 3.4902954, 8.158565, 8.333079, 3.66481, 4.2319827, 5.1045566]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.12520644, 0.12520644, 0.25041288]",,"[-0.08180379, -0.029994724, 0.21814345, 2.0396411, 0.0, -0.57262653, -2.1159914, -3.3498652]","[0.019247938, 0.018319877, 3.451387, 7.890794, 8.314883, 3.6069355, 3.6646724, 3.8268046]","[-0.02348418, -0.07986581, -0.47170165, -0.37069502, -0.55038404, -0.30487266, 0.04933979, -0.43642622]",,,,,,,,,,,,
02/08/2024,224504,12,"[2.0, 2.0, 13.0, 92.0, 81.0, 84.0, 84.0, 187.0, 191.0, 98.0, 117.0, 160.0]","[0.08725738, 0.08725738, 0.56717294, 4.0138392, 3.5339239, 3.6648102, 3.6648102, 8.158565, 8.333079, 4.275612, 5.1045566, 6.980591]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25041288, 0.25041288, 0.25041288]",,"[-0.08180379, -0.029994724, 0.017724155, 2.132352, 0.22087024, 1.3743037, 0.11452531, 2.2945962, 0.0, -2.2714186, -3.3498652, 0.6544303]","[0.019345574, 0.017981848, 0.30807832, 3.3789597, 3.495939, 3.3967516, 2.9561467, 7.8209777, 8.311842, 3.6211326, 3.7870748, 6.931673]","[-0.023403816, -0.0799426, -0.4758768, -0.38289815, -0.46716622, 0.0648107, 2.1630795, -0.35960552, -0.59455377, 0.09439609, -0.7021153, -0.50226724]",,,,,,,,,,,,
02/08/2024,224505,7,"[2.0, 2.0, 81.0, 187.0, 191.0, 160.0, 118.0]","[0.08725738, 0.08725738, 3.5339239, 8.158565, 8.333078, 6.9805903, 5.1481853]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.12520644, 0.25041288]",,"[-0.08180379, -0.029994724, 0.22087024, 2.0396411, 0.26040873, 0.4362869, -3.5393775]","[0.019264549, 0.017811276, 3.5078278, 7.8825254, 8.319543, 6.881402, 3.6922333]","[-0.023470555, -0.079980776, -0.36739513, -0.517528, -0.39699033, -1.0883942, -0.5865413]",,,,,,,,,,,,
02/08/2024,224505,8,"[2.0, 2.0, 82.0, 188.0, 190.0, 193.0, 100.0, 121.0]","[0.08725738, 0.08725738, 3.5775526, 8.202193, 8.289451, 8.420337, 4.362869, 5.2790713]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.12520644, 0.12520644, 0.25041288, 0.25041288]",,"[-0.08180379, -0.029994724, 0.22359703, 2.0505483, 0.0, 0.0, -2.1814344, -3.4643905]","[0.019265387, 0.018115582, 3.5473273, 7.91737, 8.287154, 8.399104, 3.778353, 3.9372065]","[-0.023469867, -0.0799124, -0.40663975, -0.6216768, 0.1950966, -0.59759647, -0.004299504, -0.60414934]",,,,,,,,,,,,
02/08/2024,224506,9,"[2.0, 2.0, 82.0, 104.0, 188.0, 190.0, 193.0, 101.0, 121.0]","[0.08725738, 0.08725738, 3.5775526, 4.5373836, 8.202193, 8.289451, 8.420337, 4.406497, 5.279071]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.12520644, 0.12520644, 0.25041288, 0.25041288]",,"[-0.08180379, -0.029994724, 0.33539554, 0.28358647, 2.0505483, 0.0, 0.0, -2.2032487, -3.4643905]","[0.01930637, 0.01828506, 3.5500185, 3.192536, 7.915928, 8.269951, 8.412194, 3.8159962, 3.932173]","[-0.023436166, -0.07987379, -0.28941348, -3.2117193, -0.6397769, 0.5682458, -0.37022185, -0.032953948, -0.636087]",,,,,,,,,,,,
