Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
02/08/2024,224204,8,"[2.0, 2.0, 57.0, 61.0, 71.0, 90.0, 120.0, 193.0]","[0.08725738, 0.08725738, 2.4868352, 2.66135, 3.097637, 3.9265819, 5.2354426, 8.420337]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.079077, -0.029994724, -1.7096993, 0.24950156, -1.3552161, -2.5768194, 0.32721516, 0.52627105]","[0.0267006, 0.01852637, 1.7317203, 2.64537, 2.7650254, 2.917128, 5.2085505, 8.371171]","[-0.025451053, -0.07981817, -0.5122723, -0.15016674, -0.33671758, -0.51808494, -0.41688368, -0.7406781]",,,,,,,,,,,,
02/08/2024,224204,9,"[2.0, 2.0, 61.0, 71.0, 90.0, 120.0, 193.0, 196.0, 149.0]","[0.08725738, 0.08725738, 2.6613498, 3.097637, 3.9265819, 5.2354426, 8.420337, 8.551224, 6.5006747]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37561932]",,"[-0.079077, -0.029994724, 0.16633438, -1.3552161, -2.5768194, 0.32721516, 0.78940654, -7.215094, -1.8283148]","[0.026813623, 0.01869495, 2.6498861, 2.7676291, 2.9167895, 5.206229, 8.358309, 4.353927, 6.120425]","[-0.025331952, -0.07977885, -0.18226275, -0.31459954, -0.5199873, -0.44493532, -0.64620334, -1.4522916, -1.2068267]",,,,,,,,,,,,
02/08/2024,224205,8,"[2.0, 2.0, 61.0, 71.0, 90.0, 120.0, 193.0, 170.0]","[0.08725738, 0.08725738, 2.66135, 3.097637, 3.926582, 5.2354426, 8.420337, 7.4168773]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.37561932]",,"[-0.079077, -0.029994724, 0.24950156, -1.3552161, -2.5768194, 0.32721516, 0.78940654, -1.3906645]","[0.026910968, 0.01933288, 2.6451535, 2.7669356, 2.916937, 5.201515, 8.347882, 7.262562]","[-0.025228515, -0.079626665, -0.15393455, -0.32064295, -0.5191597, -0.49702182, -0.7692646, -0.5756005]",,,,,,,,,,,,
02/08/2024,224206,11,"[2.0, 2.0, 57.0, 57.0, 61.0, 71.0, 90.0, 120.0, 154.0, 165.0, 193.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.66135, 3.097637, 3.9265819, 5.2354426, 6.718818, 7.198734, 8.420337]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.079077, -0.029994724, -1.7874129, -0.9325632, 0.24950156, -1.3552161, -2.5768194, 0.49082273, -2.0996306, -1.574723, 0.52627105]","[0.026746502, 0.018944621, 1.6507359, 1.8716353, 2.6451328, 2.763629, 2.9179606, 5.192366, 6.3194475, 6.9989223, 8.371872]","[-0.025402809, -0.07971993, -0.51436937, 1.3459779, -0.1542896, -0.34799257, -0.5133751, -0.4563836, -0.8936746, -0.5975828, -0.73270917]",,,,,,,,,,,,
02/08/2024,224206,11,"[2.0, 2.0, 57.0, 57.0, 61.0, 71.0, 90.0, 120.0, 154.0, 165.0, 193.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.66135, 3.097637, 3.926582, 5.2354426, 6.718818, 7.198734, 8.420336]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.079077, -0.029994724, -1.7874129, -0.9325632, 0.16633438, -1.3552161, -2.5768194, 0.32721516, -2.0996306, -1.574723, 0.52627105]","[0.026760621, 0.018455807, 1.6600399, 1.7846884, 2.6502218, 2.7661264, 2.9177861, 5.2085605, 6.319217, 6.985395, 8.381116]","[-0.025387935, -0.07983451, -0.48350024, 1.4593022, -0.17731611, -0.3275508, -0.5143665, -0.41675922, -0.8952996, -0.7391036, -0.61805886]",,,,,,,,,,,,
02/08/2024,224207,11,"[2.0, 2.0, 57.0, 57.0, 61.0, 71.0, 90.0, 120.0, 154.0, 165.0, 193.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.66135, 3.0976372, 3.926582, 5.2354426, 6.718818, 7.198734, 8.420337]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.079077, -0.029994724, -1.7096993, -0.9325632, 0.24950156, -1.3552161, -2.5768194, 0.49082273, -1.8896676, -1.7996835, 0.52627105]","[0.026760621, 0.018554624, 1.7298272, 1.7819977, 2.645303, 2.7651408, 2.9173086, 5.184811, 6.384492, 6.9279485, 8.377734]","[-0.025387935, -0.0798116, -0.51862884, 1.4625865, -0.15134162, -0.33576933, -0.51706827, -0.5354301, -0.8999655, -0.7657908, -0.6623331]",,,,,,,,,,,,
02/08/2024,224208,11,"[2.0, 2.0, 57.0, 57.0, 61.0, 71.0, 90.0, 120.0, 154.0, 165.0, 193.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.66135, 3.097637, 3.926582, 5.2354426, 6.7188177, 7.198734, 8.420337]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.079077, -0.029994724, -1.7874129, -0.9325632, 0.24950156, -1.3552161, -2.5768194, 0.32721516, -2.0996306, -1.574723, 0.52627105]","[0.026736679, 0.018863011, 1.6581689, 1.7888656, 2.6452222, 2.7643006, 2.9185214, 5.2013674, 6.345962, 6.982682, 8.374447]","[-0.025413148, -0.07973928, -0.48987815, 1.4541786, -0.15275036, -0.3426169, -0.5101781, -0.49856696, -0.68031967, -0.76430964, -0.7026751]",,,,,,,,,,,,
02/08/2024,224209,10,"[2.0, 2.0, 61.0, 71.0, 90.0, 120.0, 151.0, 154.0, 165.0, 193.0]","[0.08725738, 0.08725738, 2.6613498, 3.097637, 3.926582, 5.235442, 6.587932, 6.718818, 7.1987343, 8.420337]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.079077, -0.029994724, 0.24950156, -1.3552161, -2.5768194, 0.49082273, -1.8528559, -1.8896676, -1.7996835, 0.52627105]","[0.02664569, 0.019022772, 2.6451535, 2.7666948, 2.9204109, 5.193584, 6.3042574, 6.418326, 6.924231, 8.388636]","[-0.025508534, -0.07970132, -0.15393107, -0.32271278, -0.49924922, -0.4423067, -0.4734046, -0.6138174, -0.7987095, -0.5058619]",,,,,,,,,,,,
02/08/2024,224209,12,"[2.0, 2.0, 57.0, 57.0, 61.0, 71.0, 90.0, 120.0, 151.0, 154.0, 165.0, 193.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.66135, 3.097637, 3.926582, 5.2354426, 6.587932, 6.718818, 7.198734, 8.420336]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.079077, -0.029994724, -1.7096993, -0.9325632, 0.16633438, -1.3552161, -2.5768194, 0.32721516, -1.8528559, -1.8896676, -1.574723, 0.78940654]","[0.026763367, 0.018371899, 1.7281135, 1.813957, 2.6501098, 2.7639096, 2.915888, 5.206018, 6.313292, 6.420975, 7.000614, 8.362087]","[-0.025385043, -0.07985386, -0.52431065, 1.4227562, -0.17898385, -0.345757, -0.52501917, -0.447401, -0.33184004, -0.5854506, -0.57742417, -0.5953181]",,,,,,,,,,,,
02/08/2024,224210,11,"[2.0, 2.0, 57.0, 57.0, 61.0, 71.0, 90.0, 120.0, 154.0, 165.0, 193.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.6613498, 3.097637, 3.926582, 5.2354426, 6.718818, 7.198734, 8.420337]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.079077, -0.029994724, -1.7096993, -0.9325632, 0.24950156, -1.3552161, -2.5768194, 0.32721516, -2.0996306, -1.574723, 0.78940654]","[0.026753573, 0.018137226, 1.7487004, 1.7656499, 2.6452496, 2.7670941, 2.917791, 5.2057, 6.3561435, 6.992545, 8.361439]","[-0.025395362, -0.07990749, -0.4509158, 1.4822806, -0.15227102, -0.31927195, -0.51433843, -0.45108423, -0.577505, -0.66808134, -0.6043605]",,,,,,,,,,,,
