Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
02/08/2024,225150,7,"[2.0, 2.0, 148.0, 167.0, 84.0, 89.0, 152.0]","[0.08725738, 0.08725738, 6.457046, 7.285991, 3.66481, 3.8829532, 6.6315613]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 4.0356536, 5.2368064, -0.34357592, 0.0, -4.559198]","[0.01910951, 0.02044007, 5.0192037, 5.030094, 3.5953906, 3.8478897, 4.750113]","[-0.023596957, -0.07934967, -0.46318173, -0.5997322, -0.621252, -0.5206455, -0.79230183]",,,,,,,,,,,,
02/08/2024,225151,7,"[2.0, 2.0, 89.0, 148.0, 167.0, 84.0, 152.0]","[0.08725738, 0.08725738, 3.8829532, 6.4570465, 7.285991, 3.6648097, 6.631561]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.121342294, 4.2374363, 5.2368064, -0.34357592, -4.559198]","[0.019205343, 0.020370066, 3.823112, 4.865242, 5.034947, 3.6105616, 4.7478776]","[-0.023519026, -0.07936767, -0.66814417, -0.2588443, -0.55752814, -0.5259578, -0.8055877]",,,,,,,,,,,,
02/08/2024,225152,8,"[2.0, 2.0, 57.0, 57.0, 92.0, 96.0, 156.0, 174.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 4.013839, 4.188354, 6.8060756, 7.591392]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.0, 0.9325632, -0.12543248, -0.52354425, -4.8918667, 4.981851]","[0.018812856, 0.019429417, 1.2235013, 2.2781515, 4.0060506, 4.1054215, 4.7006564, 5.7279234]","[-0.023834141, -0.079603165, 2.165039, -0.35313013, 0.21616533, -0.64321375, -0.54418206, -0.035833877]",,,,,,,,,,,,
02/08/2024,225152,8,"[2.0, 2.0, 57.0, 57.0, 93.0, 96.0, 156.0, 174.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 4.0574675, 4.188354, 6.8060756, 7.591392]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.0, 0.9325632, -0.3803876, -0.52354425, -4.8918667, 4.981851]","[0.018907797, 0.019514386, 1.1757139, 2.2749085, 4.023967, 4.109073, 4.7019415, 5.7279587]","[-0.023758894, -0.07958238, 2.1913571, -0.37345165, -0.35502094, -0.61945856, -0.5329644, 0.029659305]",,,,,,,,,,,,
02/08/2024,225153,9,"[2.0, 2.0, 57.0, 57.0, 60.0, 92.0, 96.0, 156.0, 174.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.6177213, 4.0138392, 4.188354, 6.8060756, 7.591392]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.0777136, 1.0102768, 0.0, -0.12543248, -0.52354425, -4.8918667, 4.981851]","[0.018805841, 0.019747773, 1.167184, 2.2409015, 1.652465, 4.00596, 4.1070523, 4.702367, 5.7279]","[-0.023839675, -0.079524785, 2.1945367, -0.37689617, 2.0302277, 0.21784048, -0.6327174, -0.5292014, -0.039430205]",,,,,,,,,,,,
02/08/2024,225154,8,"[2.0, 2.0, 57.0, 60.0, 92.0, 96.0, 156.0, 174.0]","[0.08725738, 0.08725738, 2.4868352, 2.6177213, 4.0138392, 4.188354, 6.8060756, 7.5913925]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.0, 0.0, -0.12543248, -0.52354425, -4.8918667, 4.981851]","[0.018836208, 0.019747773, 1.0442659, 1.6472594, 4.0046, 4.108475, 4.7007127, 5.7278066]","[-0.02381569, -0.079524785, 2.2569578, 2.0344536, 0.24155784, -0.6234107, -0.5436969, -0.05125628]",,,,,,,,,,,,
02/08/2024,225155,10,"[2.0, 2.0, 57.0, 57.0, 59.0, 93.0, 96.0, 156.0, 174.0, 114.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.5740926, 4.057468, 4.188354, 6.8060756, 7.591392, 4.9736705]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25041288]",,"[-0.08180379, -0.029994724, 0.0777136, 0.9325632, 0.0, -0.3803876, -0.52354425, -4.8918667, 4.981851, 3.7302527]","[0.018914249, 0.019429417, 1.2872064, 2.2845738, 2.0004842, 4.0230613, 4.1059136, 4.6976347, 5.7278404, 3.246954]","[-0.023753757, -0.079603165, 2.1263607, -0.30886585, 1.6198813, -0.3651419, -0.64006567, -0.5696811, 0.047306113, -0.5290581]",,,,,,,,,,,,
02/08/2024,225155,10,"[2.0, 2.0, 57.0, 57.0, 60.0, 93.0, 96.0, 156.0, 174.0, 114.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868352, 2.6177213, 4.057468, 4.188354, 6.8060756, 7.591392, 4.9736705]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25041288]",,"[-0.08180379, -0.029994724, 0.0777136, 1.0102768, 0.0, -0.3803876, -0.52354425, -4.8918667, 4.981851, 3.7302527]","[0.018920701, 0.019658295, 1.1581416, 2.2341063, 1.68897, 4.024936, 4.1077375, 4.6962614, 5.7267904, 3.2668319]","[-0.023748618, -0.07954695, 2.1993222, -0.41528234, 1.9999613, -0.34385768, -0.62825435, -0.5808907, 0.11943721, -0.3878423]",,,,,,,,,,,,
02/08/2024,225156,8,"[2.0, 2.0, 57.0, 57.0, 60.0, 96.0, 156.0, 174.0]","[0.08725738, 0.08725738, 2.4868352, 2.4868355, 2.6177213, 4.188354, 6.8060756, 7.591392]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.0, 1.0102768, 0.0, -0.52354425, -4.8918667, 4.981851]","[0.018914249, 0.01987757, 1.1601069, 2.2252705, 1.6873686, 4.106639, 4.6986313, 5.7275634]","[-0.023753757, -0.07949244, 2.1996593, -0.46028486, 2.0013125, -0.63539505, -0.56140214, 0.07358266]",,,,,,,,,,,,
02/08/2024,225157,7,"[2.0, 2.0, 58.0, 91.0, 96.0, 156.0, 174.0]","[0.08725738, 0.08725738, 2.530464, 3.970211, 4.1883535, 6.806076, 7.591392]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.079077, -0.6203454, -0.6544303, -4.679177, 4.981851]","[0.018883197, 0.018323945, 1.1168038, 2.4926624, 4.092143, 4.9152455, 5.7279663]","[-0.02377845, -0.07986488, 2.2693048, 3.0272727, -0.6069531, -0.51800966, 0.028240321]",,,,,,,,,,,,
