DateTime,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
2024-08-05 01:25:10.774917,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.2496042]","[0.019023206, 0.017204067, 2.9837866, 4.5134354, 6.7931376]","[-0.023666589, -0.08011358, -0.5336332, -1.0080109, -0.7837957]",,,,,,,,,,,,
2024-08-05 01:25:11.529088,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.01891169, 0.017019358, 2.9830697, 4.5113416, 6.703329]","[-0.023755794, -0.080153026, -0.537626, -1.0173397, -0.8738869]",,,,,,,,,,,,
2024-08-05 01:25:12.254616,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018849932, 0.017585792, 2.9856803, 4.513109, 6.7078023]","[-0.023804829, -0.08003066, -0.52293223, -1.0094709, -0.8388619]",,,,,,,,,,,,
2024-08-05 01:25:13.044273,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.235442, 7.1987343]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018849932, 0.017501252, 2.9857717, 4.513767, 6.706604]","[-0.023804829, -0.08004919, -0.52241194, -1.006525, -0.8483886]",,,,,,,,,,,,
2024-08-05 01:25:13.795835,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.2496042]","[0.018870248, 0.017236382, 2.9825878, 4.5115466, 6.788177]","[-0.023788728, -0.08010664, -0.5402922, -1.0164312, -0.82565266]",,,,,,,,,,,,
2024-08-05 01:25:14.518171,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.2496042]","[0.018961493, 0.017350176, 2.9837341, 4.5122995, 6.7890263]","[-0.02371606, -0.08008207, -0.5339248, -1.0130829, -0.81864107]",,,,,,,,,,,,
2024-08-05 01:25:15.281561,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018987952, 0.017745545, 2.9866202, 4.515186, 6.7027907]","[-0.023694882, -0.07999539, -0.51753867, -1.0001403, -0.8780076]",,,,,,,,,,,,
2024-08-05 01:25:16.051211,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018987952, 0.01743295, 2.9846866, 4.5134892, 6.7065306]","[-0.023694882, -0.08006409, -0.5285757, -1.0077693, -0.8489675]",,,,,,,,,,,,
2024-08-05 01:25:16.793318,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018814249, 0.01697706, 2.982527, 4.5118556, 6.703383]","[-0.02383304, -0.080161996, -0.54062825, -1.0150588, -0.87347233]",,,,,,,,,,,,
2024-08-05 01:25:17.723566,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829532, 5.235442, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.2496042]","[0.018916078, 0.017298138, 2.9845302, 4.512138, 6.78864]","[-0.0237523, -0.080093324, -0.52945703, -1.0138013, -0.82183754]",,,,,,,,,,,,
2024-08-05 01:25:18.504149,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.1987343]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.019020205, 0.017776443, 2.9868433, 4.5156264, 6.7040715]","[-0.023669, -0.079988524, -0.5162491, -0.99814945, -0.868175]",,,,,,,,,,,,
2024-08-05 01:25:19.269999,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.019013833, 0.017563669, 2.9847097, 4.514355, 6.70652]","[-0.02367412, -0.080035515, -0.5284452, -1.0038837, -0.84904987]",,,,,,,,,,,,
2024-08-05 01:25:20.007654,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.235442, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.018827684, 0.017348874, 2.9825706, 4.5101657, 6.704008]","[-0.023822429, -0.08008235, -0.5403876, -1.0225395, -0.86866134]",,,,,,,,,,,,
2024-08-05 01:25:20.763879,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.2354426, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.01893899, 0.01750902, 2.9853995, 4.5129914, 6.703103]","[-0.023734035, -0.08004749, -0.5245338, -1.0099974, -0.8756197]",,,,,,,,,,,,
2024-08-05 01:25:21.531368,5,"[2.0, 2.0, 89.0, 120.0, 165.0]","[0.08725738, 0.08725738, 3.8829534, 5.235442, 7.198734]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.4268458, -2.4541137, -2.4745648]","[0.01893899, 0.017773902, 2.9858768, 4.514051, 6.703002]","[-0.023734035, -0.07998909, -0.5218111, -1.0052497, -0.87639153]",,,,,,,,,,,,
