DateTime,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
2024-08-05 01:21:22.400379,11,"[2.0, 2.0, 24.0, 28.0, 140.0, 143.0, 159.0, 196.0, 181.0, 198.0, 203.0]","[0.08725738, 0.08725738, 1.0470885, 1.2216033, 6.108016, 6.2389026, 6.9369617, 8.551223, 7.896793, 8.63848, 8.856623]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, 0.71987337, 0.64897674, -4.9627633, -5.4590397, -1.7342404, -6.413417, 1.9741982, 3.23943, 3.5980034]","[0.019263636, 0.018820664, 0.7323417, 0.97328115, 2.9454963, 2.8867078, 6.660843, 5.3314676, 7.6013737, 7.956235, 8.061351]","[-0.023471303, -0.079749286, -0.20457825, -0.35194814, -2.000724, -0.8886549, -0.86430144, -1.8886374, -0.8252274, -0.90981334, -0.7132827]",,,,,,,,,,,,
2024-08-05 01:21:23.213676,11,"[2.0, 2.0, 140.0, 143.0, 159.0, 196.0, 25.0, 28.0, 182.0, 198.0, 203.0]","[0.08725738, 0.08725738, 6.1080165, 6.2389026, 6.936961, 8.551223, 1.0907172, 1.2216033, 7.9404216, 8.638479, 8.856623]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -5.153639, -5.264074, -1.7342404, -6.413417, 0.7157832, 0.61080164, 1.9851054, 3.23943, 3.5980034]","[0.018927384, 0.01571602, 2.3703957, 3.22885, 6.66816, 5.348038, 0.8123622, 1.0427529, 7.656172, 7.946494, 8.065384]","[-0.023743292, -0.080418736, -2.2647507, -0.8876702, -0.80590844, -1.841191, -0.13185644, -0.1786126, -0.7019133, -0.99129266, -0.66613317]",,,,,,,,,,,,
2024-08-05 01:21:23.951249,6,"[11.0, 17.0, 17.0, 153.0, 171.0, 178.0]","[0.4799156, 0.7416877, 0.7416877, 6.6751895, 7.4605055, 7.765907]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[-0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[0.34493932, -0.023177741, -0.46355483, -4.589193, -1.8651265, -1.9414767]","[0.30795446, 0.6364432, 0.5518094, 4.2860174, 6.4895077, 7.3666434]","[-0.12845193, -0.38013616, -0.17528255, -2.2644026, -3.1728125, -1.5074943]",,,,,,,,,,,,
2024-08-05 01:21:24.665374,9,"[2.0, 2.0, 25.0, 11.0, 20.0, 20.0, 24.0, 24.0, 171.0]","[0.08725738, 0.08725738, 1.0907172, 0.4799156, 0.87257385, 0.8725738, 1.0470885, 1.0470885, 7.460506]","[0.0, 0.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, -0.25041288, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, 0.783953, 0.34493932, 0.027267931, -0.24541138, 0.78531635, -0.6544303, -1.8651265]","[0.018642025, 0.008202561, 0.707367, 0.30594411, 0.7637168, 0.42184108, 0.69172394, 0.7966732, 6.144075]","[-0.023967993, -0.081528425, -0.273338, -0.13316922, -0.42116278, 0.72333145, -0.034504607, -0.18283077, -3.7987885]",,,,,,,,,,,,
2024-08-05 01:21:25.426023,10,"[2.0, 2.0, 6.0, 6.0, 170.0, 170.0, 8.0, 8.0, 11.0, 153.0]","[0.08725738, 0.08725738, 0.2617721, 0.26177213, 7.4168773, 7.416877, 0.3490295, 0.3490295, 0.4799156, 6.6751895]","[0.0, 0.0, -2.0, -2.0, -2.0, -2.0, -1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, 0.016360758, -0.07362341, -2.0859966, 0.6953322, -0.14179324, 0.09816455, 0.35993668, -4.3805933]","[0.018714417, 0.0021232208, 0.26114103, 0.2508005, 5.6521335, 6.7997093, 0.31265756, 0.2839943, 0.2949628, 3.3570936]","[-0.023911512, -0.0819125, 0.007894677, 0.014260157, -4.325745, 2.879328, 0.06294066, -0.17757408, 0.11730946, -3.7547941]",,,,,,,,,,,,
2024-08-05 01:21:26.187139,12,"[2.0, 2.0, 8.0, 8.0, 15.0, 15.0, 19.0, 19.0, 170.0, 170.0, 11.0, 153.0]","[0.08725738, 0.08725738, 0.3490295, 0.3490295, 0.6544303, 0.6544303, 0.8289451, 0.8289451, 7.4168773, 7.4168773, 0.4799156, 6.6751895]","[0.0, 0.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.0, -1.0]","[0.0, 0.0, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, -0.13088606, 0.08725738, 0.08180379, 0.30676422, 0.12952267, -0.1554272, 0.23177741, -3.0131063, 0.34493932, -4.3805933]","[0.01876677, 0.02117203, 0.29474157, 0.32387894, 0.47619447, 0.4628987, 0.8119273, 0.5628884, 6.7933326, 5.514327, 0.3274266, 4.7530084]","[-0.023870444, -0.07915751, -0.13348345, -0.096489266, -0.441391, 0.34626514, 0.10558337, -0.58834434, 2.9676552, -3.9399817, 0.06424682, -1.6665741]",,,,,,,,,,,,
2024-08-05 01:21:26.917486,12,"[2.0, 2.0, 5.0, 5.0, 8.0, 8.0, 18.0, 18.0, 170.0, 11.0, 152.0, 152.0]","[0.08725738, 0.08725738, 0.21814345, 0.21814345, 0.3490295, 0.3490295, 0.7853164, 0.7853164, 7.4168773, 0.4799156, 6.631561, 6.631561]","[0.0, 0.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.0, -1.0, -1.0]","[0.0, 0.0, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, 0.040901896, -0.027267931, -0.13088606, 0.1963291, 0.049082275, 0.0, -2.317774, 0.37493405, -4.3519616, -3.9374893]","[0.018925035, 0.020245912, 0.21409932, 0.20792533, 0.31888554, 0.27624965, 0.77183187, 0.78383255, 5.9834847, 0.20545816, 4.8383555, 5.181239]","[-0.023745164, -0.07939943, 0.008665011, 0.06008393, -0.054794617, -0.0834423, 0.13633923, 0.04825336, -3.7196639, -0.21801463, -1.2760671, -1.276142]",,,,,,,,,,,,
2024-08-05 01:21:27.673822,10,"[2.0, 2.0, 5.0, 5.0, 152.0, 170.0, 10.0, 14.0, 14.0, 139.0]","[0.08725738, 0.08725738, 0.21814345, 0.21814343, 6.631561, 7.4168773, 0.4362869, 0.61080164, 0.61080164, 6.064388]","[0.0, 0.0, -2.0, -2.0, -2.0, -2.0, -1.0, -1.0, -1.0, -1.0]","[0.0, 0.0, -0.25041288, -0.25041288, -0.25041288, -0.25041288, -0.12520644, -0.12520644, -0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, 0.0, 0.12270569, -4.3519616, -1.6224419, -0.3135812, 0.5153639, 0.2672257, -5.3063393]","[0.019966692, 0.017933862, 0.21764068, 0.1775336, 4.4550514, 6.797144, 0.060876198, 0.31424376, 0.41807324, 2.930214]","[-0.02287621, -0.07995338, 0.014801813, 0.031807207, -2.2782774, -2.485274, 0.29716524, 0.09343234, -0.35620755, -0.18278162]",,,,,,,,,,,,
2024-08-05 01:21:28.445573,9,"[2.0, 2.0, 8.0, 8.0, 5.0, 5.0, 19.0, 9.0, 150.0]","[0.08725738, 0.08725738, 0.3490295, 0.3490295, 0.21814346, 0.21814345, 0.8289451, 0.3926582, 6.5443034]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12520644, -0.12520644]",,"[-0.08180379, -0.029994724, 0.21814345, -0.17451476, 0.0, -0.068169825, -0.0777136, 0.24541138, -5.3172464]","[0.018746536, 0.013187037, 0.25822404, 0.29924464, 0.19393544, 0.13501436, 0.8216367, 0.2807806, 2.92098]","[-0.023886338, -0.080871925, -0.08692173, -0.04264786, 0.09987799, 0.15719594, 0.07761307, -0.12294703, -2.4541137]",,,,,,,,,,,,
2024-08-05 01:21:29.178266,11,"[2.0, 2.0, 5.0, 13.0, 13.0, 15.0, 15.0, 8.0, 7.0, 149.0, 19.0]","[0.08725738, 0.08725738, 0.21814343, 0.56717294, 0.56717294, 0.6544303, 0.6544303, 0.3490295, 0.30540082, 6.5006747, 0.8289451]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, -2.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.25041288, -0.25041288, -0.12520644]",,"[-0.08180379, -0.029994724, 0.020450948, -0.14179324, 0.05317246, -0.040901896, 0.57262653, -0.010907172, -0.18133174, -5.2817984, -0.05180907]","[0.017998256, 0.017003879, 0.2058028, 0.27791095, 0.52820235, 0.64804554, 0.23470291, 0.34885627, 0.24207602, 2.7827249, 0.82347697]","[-0.024455113, -0.08015631, 0.06937959, -0.47365105, -0.19964997, 0.081504926, 0.21282017, -0.0013955038, -0.04228075, -2.5725121, 0.07969649]",,,,,,,,,,,,
