DateTime,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
2024-08-05 01:22:43.192533,8,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902954, 3.7084386, 4.2319827, 4.8427844, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.4384859, 3.4807513, 4.107914]","[0.019103393, 0.01898505, 2.4699962, 2.1586752, 0.7845512, 2.4156406, 3.3605337, 3.8883336]","[-0.02360191, -0.07971031, -0.078173324, -0.29475713, -0.48018765, -0.5011721, -0.20915237, -0.81928366]",,,,,,,,,,,,
2024-08-05 01:22:44.023266,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
2024-08-05 01:22:44.748997,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
2024-08-05 01:22:45.515548,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
2024-08-05 01:22:46.281685,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
2024-08-05 01:22:47.056491,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
2024-08-05 01:22:47.832180,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
2024-08-05 01:22:48.616895,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
2024-08-05 01:22:49.387999,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
2024-08-05 01:22:50.302966,9,"[2.0, 2.0, 78.0, 80.0, 85.0, 97.0, 111.0, 131.0, 131.0]","[0.08725738, 0.08725738, 3.4030378, 3.4902952, 3.7084386, 4.231982, 4.8427844, 5.7153583, 5.7153583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08180379, -0.029994724, -2.3395884, -2.726793, 3.59255, 3.5707355, 3.4807513, 4.2865186, 3.929309]","[0.019191984, 0.01942026, 2.4644432, 2.1646097, 0.7802897, 2.213739, 3.360807, 3.709341, 4.0602136]","[-0.023529928, -0.0796054, -0.1830627, -0.247436, -0.48708192, -0.5088076, -0.2047152, -0.72929376, -0.8605338]",,,,,,,,,,,,
